"name","steam_appid","required_age","is_free","number_dlc","developers","publishers","price_currency","price_initial","price_final","windows","mac","linux","metacritic_score","categories","genres","recommendations_total","achievements_total","release_date"
"PERFECT ANGLE: The puzzle game based on optical illusions",427780,0,False,"","Ivanovich Games","Ivanovich Games","CAD","10.99","10.99",True,True,False,"","Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Family Sharing","Adventure;Casual;Indie;Strategy","",37,"22 Dec, 2015"
"Montaro 2",2368490,0,False,"","02GAMES","02GAMES","","","",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Family Sharing","Action;Casual;Indie","","","Q4 2025"
"Absolutely Nothing",2557750,0,False,"","Joshua Curtis","Joshua Curtis","CAD","1.29","1.29",True,False,False,"","Single-player;Full controller support;Family Sharing","Casual;Simulation;Strategy","","","1 Sep, 2023"
"Virus L",1192060,0,False,"","Luthor Dynamics","Luthor Dynamics","CAD","11.49","11.49",True,False,False,"","Single-player;Tracked Controller Support;VR Only;Family Sharing","Action","","","13 Jan, 2020"
"Pico Islands",1704540,0,False,"","BitSpree GmbH","BitSpree GmbH","CAD","24.79","24.79",True,True,False,"","Single-player;Steam Cloud;Family Sharing","Indie;Simulation;Strategy","",26,"13 Feb, 2025"
"Baccarat Corsair",1872450,0,True,"","Neo Land Entertainment Limited","Neo Land Entertainment Limited","","","",True,False,False,"","Single-player;Multi-player;In-App Purchases","Casual;Free To Play;Sports","","","Coming soon"
"REGOLA",1039310,0,False,"","IvyCanopy","IvyCanopy","CAD","3.39","3.39",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Casual;Simulation","",81,"11 Apr, 2020"
"First Dwarf",1714900,0,False,1,"Star Drifters","Star Drifters;4Divinity","CAD","31.99","20.79",True,False,False,"","Single-player;Multi-player;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Full controller support;Captions available;Steam Cloud;Remote Play Together;HDR available;Family Sharing","Action;Adventure;Indie;RPG;Early Access",251,"","19 Jun, 2024"
"Restaurant Renovator",1057630,0,False,"","GamePlanet","GamePlanet","","","",True,False,False,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Action;Casual;Indie;Simulation;Strategy","","","Coming soon"
"Shadow Racer",1981300,0,True,"","DigiPen Europe-Bilbao","DigiPen Institute of Technology","","","",True,False,False,"","Single-player;Full controller support","Action;Adventure;Casual;Free To Play;Racing","","","May 19, 2022"
"Zoo Packs",1135150,0,False,"","Sokpop Collective","Sokpop Collective","CAD","3.39","3.39",True,True,False,"","Single-player;Multi-player;PvP;Online PvP;Family Sharing","Action;Indie;Strategy","","","17 Jan, 2020"
"SGS Spain at War",1933830,0,False,"","Strategy Game Studio;Headquarter Wargames","Avalon Digital","CAD","33.99","33.99",True,True,False,"","Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Playable without Timed Input;Save Anytime;Remote Play Together;Family Sharing","Strategy","","","12 Jun, 2025"
"Hikikomori life",1597800,0,False,"","Micro Team Games","Micro Team Games","","","",True,True,True,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Adventure;Indie;RPG;Simulation","","","Coming soon"
"Ocak",1541030,0,False,"","Team Kut","Team Kut","","","",True,False,False,"","Single-player;Steam Achievements;Full controller support;Captions available;Family Sharing","Action;Adventure;Indie;RPG;Strategy;Early Access","","","Coming soon"
"Dawn Of Hell",2255820,0,False,"","Samuka Gomes","Samuka Gomes","CAD","2.59","2.59",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Family Sharing","Action;Adventure;Indie;Strategy","",16,"20 Feb, 2023"
"Warkestra",2492270,0,True,"","unknown","unknown","","","",True,False,False,"","Single-player","Action;Adventure;Indie;RPG;Strategy;Free To Play","","","To be announced"
"Hanako's Flower Shop",1529640,0,False,"","FantaJI Games","FantaJI Games","CAD","19.49","19.49",True,True,True,"","Single-player;Steam Achievements;Steam Cloud;Family Sharing","Casual;Indie","",15,"25 Apr, 2025"
"Atomic Heart",668580,17,False,8,"Mundfish","Focus Entertainment;4Divinity","CAD","79.99","79.99",True,False,False,76,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Stereo Sound;Surround Sound;Steam Cloud;Family Sharing","Action;Adventure;RPG",30558,69,"20 Feb, 2023"
"Bulletorium",1106980,0,False,"","Trukhan Hryhorii","Trukhan Hryhorii","CAD","1.19","1.19",True,False,False,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Action","",7,"13 Aug, 2019"
"Hyakki Yako: OH&S",2447190,0,True,"","Inhuman Resources","Inhuman Resources","","","",True,True,False,"","Single-player","Free To Play;Indie","","","1 Aug, 2023"
"大话商周",2650600,0,True,"","北京懿宸科技有限公司","北京懿宸科技有限公司","","","",True,False,False,"","Multi-player;MMO","RPG;Game Development","","","13 Nov, 2023"
"Sword of Elpisia",1796920,0,False,3,"Exe Create Inc.","KEMCO","CAD","20.99","10.49",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Family Sharing","Adventure;RPG;Simulation;Strategy","",32,"6 Jan, 2022"
"Market Dominion",981500,0,False,"","Iguana Mercenary","Iguana Mercenary","CAD","5.69","5.69",True,False,False,"","Single-player;Family Sharing","Casual;Indie;Simulation;Strategy","",22,"7 Aug, 2019"
"被坏女人骗成冒险者!",2359320,0,True,"","灌庄青曦石","灌庄青曦石","","","",True,False,False,"","Single-player","Action;Adventure;Free To Play;Indie;RPG","","","4 Apr, 2023"
"Underlab",1867760,0,False,"","Other Ocean Interactive","Other Ocean Group","","","",True,False,False,"","Multi-player;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;Family Sharing","Action;Casual","","","To be announced"
"The Fifth Day",312210,0,False,"","Touz","Touz","CAD","16.99","16.99",True,True,False,"","Single-player;Multi-player;Family Sharing","Action;Adventure;Indie;Early Access",875,"","25 Jul, 2014"
"BULLET SOUL",544580,0,False,1,"MAGES. Inc.;5pb","MAGES. Inc.;5pb","CAD","16.99","3.39",True,False,False,76,"Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards;Remote Play Together;Family Sharing","Action","",69,"6 Apr, 2017"
"Water Ball",1622090,0,False,"","Stas Paty9mkin","Piece Of Voxel","CAD","11.49","11.49",True,False,False,"","Single-player;Family Sharing","Casual;Indie;Strategy","","","16 May, 2021"
"Infernales: Circles of Hell",809490,0,False,"","VGstudio","VGstudio","CAD","7.79","7.79",True,False,False,"","Single-player;Family Sharing","Violent;Gore;Action;Adventure;Indie","","","16 Mar, 2018"
"Laura Bow and the Mechanical Codex",2549910,0,False,"","NineZyme OÜ","NineZyme OÜ","","","",True,True,True,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Adventure;Casual;Indie","","","To be announced"
"Spirit of Glace",1233640,0,False,"","Tommy Visic","Tommy Visic","","","",True,False,False,"","Single-player;Full controller support;Family Sharing","Action;Adventure;Indie","","","Coming soon"
"Starlight Legacy",2696760,0,False,"","Decafesoft","Eastasiasoft Limited;Decafesoft","CAD","16.99","16.99",True,True,True,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Indie;RPG","",21,"5 Feb, 2025"
"Invasion Machine",964650,0,False,"","Pixel Machine","Pixel Machine","CAD","21.79","21.79",True,False,False,"","Single-player;Family Sharing","Indie;Simulation;Strategy;Early Access",582,"","26 Feb, 2020"
"Banzai Escape",440340,0,False,1,"XenoAisam","Xenoaisam Studio","CAD","8.99","8.99",True,False,False,"","Single-player;Steam Achievements;Steam Trading Cards;Family Sharing","Action","",14,"29 Feb, 2016"
"SUPREMACY: WORLD WAR 3",784950,0,True,3,"Dorado Games","Dorado Games","","","",True,True,False,"","Multi-player;MMO;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases","Indie;Massively Multiplayer;Strategy;Free To Play","",133,"15 Mar, 2018"
"The Beauty Cult's NECTARMANCER",739790,0,False,"","The Beauty Cult","The Beauty Cult","","","",True,False,True,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Action;Adventure;Indie;Simulation","","","Coming soon"
"Small War",1208410,0,False,"","ABCD","ABCD","CAD","7.79","7.79",True,False,False,"","Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Steam Workshop;Includes level editor;Remote Play Together;Family Sharing","Indie;Strategy;Early Access","",20,"8 Feb, 2024"
"Fireflies",915440,0,True,"","Sourabh P Hamigi","Sourabh P Hamigi","","","",True,False,False,"","Single-player;Partial Controller Support","Action;Adventure;Casual;Indie","","","28 Aug, 2018"
"Eyes of Iyre",2204920,0,True,"","D0Studios","D0Studios","","","",True,True,False,"","Single-player","Adventure;Free To Play;Indie;RPG","","","To be announced"
"Watch The Fish",2081590,0,False,"","Blackbird Studios","Blackbird Studios","CAD","2.59","2.59",True,False,True,"","Single-player;Steam Achievements;Full controller support;Stats;Steam Leaderboards;Family Sharing","Action;Casual;Indie","",15,"24 Jan, 2024"
"Fightttris VR",841340,0,False,"","TECHHOME","TECHHOME","CAD","1.99","1.99",True,False,False,"","Single-player;Multi-player;Steam Achievements;Tracked Controller Support;VR Only;Family Sharing","Indie","",9,"27 Feb, 2019"
"Hentai Brick Breaker",1664660,0,False,1,"EGC Games","EGC Games","CAD","3.89","0.97",True,False,False,"","Single-player;Family Sharing","Casual;Indie","","","30 Jun, 2021"
"Antarctic Heritage Trust",1193510,0,True,"","Staples VR","Antarctic Heritage Trust","","","",True,False,False,"","Single-player;Tracked Controller Support;VR Only","Free To Play","","","23 Jul, 2020"
"Eat Fish, Get Achievements Playtest",2140820,0,False,"","","","","","",True,False,False,"","","","","","2 Sep, 2022"
"Dwarven Towers",1789280,0,False,"","CRX Entertainment Pte Ltd","Favour Toys Studios","CAD","4.99","4.99",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Steam Achievements;Stats;Steam Leaderboards;Family Sharing","Casual;Indie","",9,"30 Mar, 2023"
"GINKA",2536840,0,False,1,"Frontwing","Frontwing USA;Bushiroad Inc.","CAD","32.50","32.50",True,False,False,"","Single-player;Steam Trading Cards;Steam Cloud;Family Sharing","Adventure;Casual",2502,"","25 Oct, 2023"
"Project Star",2642810,0,False,"","Goreng Studios","Goreng Studios","","","",True,False,False,"","Single-player;Partial Controller Support;Family Sharing","Action;RPG","","","To be announced"
"弹幕大修仙 - 开篇",1471120,0,False,"","GCN","GCN","CAD","1.29","1.29",True,False,False,"","Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Family Sharing","Casual;Indie","",30,"4 Dec, 2020"
"Blobert",1380480,0,False,"","Dean Campagnolo","Dean Campagnolo","CAD","1.19","1.19",True,True,False,"","Single-player;Family Sharing","Adventure;Indie","","","13 Mar, 2021"
"DLC Quest",230050,0,False,"","Going Loud Studios","Going Loud Studios","CAD","3.89","3.89",True,True,False,"","Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards;Family Sharing","Indie",5004,22,"18 Mar, 2013"
"The Dawning Clocks of Time® Remake",2744390,0,False,"","Spacefarer RAD Ltd.","Spacefarer R&D Ltd.","CAD","32.50","32.50",True,True,True,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;HDR available;Family Sharing","Action;Adventure;Indie","",18,"4 Jul, 2024"
"STALINGRAD ABATIS",938640,0,False,"","VikTor","VikTor","CAD","1.29","1.29",True,False,False,"","Single-player;Family Sharing","Adventure;Indie;RPG;Simulation","","","21 Sep, 2018"
"Last Signal",2459190,0,False,"","Under Heaven Studios","Under Heaven Studios","CAD","1.29","1.29",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Adventure;Indie","",9,"12 Dec, 2024"
"Braveland Heroes",931650,0,True,"","Tortuga Team","Tortuga Team","","","",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases;Remote Play on Phone;Remote Play on Tablet","Adventure;RPG;Strategy;Free To Play","","","16 Sep, 2019"
"Shadow of Loot Box",764590,0,False,"","Stately Snail","Stately Snail","CAD","6.49","6.49",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Action;Adventure;Indie","",10,"30 Jan, 2018"
"Codename: Panzers, Phase One",411310,0,False,1,"Stormregion;THQ Nordic","THQ Nordic","CAD","16.99","4.24",True,False,False,81,"Single-player;Multi-player;Includes level editor;Family Sharing","Simulation;Strategy",375,"","18 Feb, 2016"
"RINBO",2486510,0,False,"","Dawn Fades","Dawn Fades","CAD","8.99","8.99",True,False,False,"","Single-player;Full controller support;Family Sharing","Action;Adventure;Casual","","","25 Jul, 2024"
"DarkMaus",406130,0,False,1,"Daniel Wright","Daniel Wright","CAD","6.49","6.49",True,False,False,83,"Single-player;Partial Controller Support;Family Sharing","Action;Indie;RPG",400,"","26 Jan, 2016"
"Bikini Island",648670,0,False,2,"Sexy Dev!","Sexy Dev!","CAD","12.99","12.99",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Adventure;Casual;Indie;RPG;Simulation;Strategy","",11,"30 May, 2024"
"THE LAST BEAT Playtest",1742560,0,False,"","","","","","",True,False,False,"","","","","","8 Feb, 2022"
"Arbeit Man in another world",1639130,0,True,"","三月精的旧树屋","三月精的旧树屋","","","",True,False,False,"","Single-player","Adventure;Free To Play;Indie;Racing;RPG","","","3 Jun, 2021"
"Through the night",2068750,0,False,"","Yihu Team","Yihu Team","CAD","1.19","1.19",True,True,False,"","Single-player;Steam Leaderboards;Family Sharing","Action;Casual;Indie","","","24 Jul, 2022"
"The Far Kingdoms: Sacred Grove Solitaire",1034260,0,False,"","Lazy Turtle Games","HH-Games","CAD","10.49","10.49",True,False,False,"","Single-player;Family Sharing","Casual","","","11 Mar, 2019"
"Brutal MooD",790680,0,False,"","Quad Damage Games","Quad Damage Games","","","",True,False,False,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Action;Indie;Early Access","","","Coming soon"
"Otherside",1446420,0,False,"","Ben Lapid","Bunso","CAD","1.19","1.19",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Adventure;Casual;Indie;Simulation","",1,"2 Nov, 2020"
"Battlethorne: Survivors",2746340,0,False,"","Primarch Interactive","Primarch Interactive","CAD","4.99","4.99",True,False,False,"","Single-player;Partial Controller Support;Family Sharing","Action;Casual;Indie;RPG","","","29 Mar, 2024"
"Mother Machine Playtest",2764040,0,False,"","","","","","",True,False,False,"","","","","","23 Dec, 2024"
"VirtuaLiron - Immersive YOGA practice",1156200,0,False,"","Motek Entertainment;Oshri Even Zohar","Motek Entertainment","CAD","4.65","4.65",True,False,False,"","Single-player;Tracked Controller Support;VR Only;Family Sharing","Casual;Indie;Sports","","","14 Nov, 2019"
"Karnage Chronicles",611160,0,False,"","Nordic Trolls","Nordic Trolls","CAD","27.99","27.99",True,False,False,"","Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Tracked Controller Support;VR Only;Steam Trading Cards;Steam Cloud;Family Sharing","Action;Adventure;RPG",1178,48,"31 Jul, 2020"
"ppL",1586840,0,False,"","2D Digital studio;DevonAnimation","2D Digital studio","CAD","6.69","6.69",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Action;Adventure;Indie","",10,"21 Jun, 2021"
"Atlas Wept",1699260,0,False,"","Kbojisoft","Kbojisoft","CAD","10.49","10.49",True,False,False,"","Single-player;Full controller support;Family Sharing","Action;Adventure;Casual;Indie;RPG","","","16 Jan, 2024"
"Duck Hunting",619330,0,False,"","Alekseev","Conglomerate 5","CAD","1.29","1.29",True,True,True,"","Single-player;Steam Trading Cards;Family Sharing","Indie;Simulation",111,"","7 Apr, 2017"
