,name,steam_appid,required_age,is_free,number_dlc,developers,publishers,price_currency,price_initial,price_final,windows,mac,linux,metacritic_score,categories,genres,recommendations_total,achievements_total,release_date,0,total_news,total_patches
53504,Urban Explorer Playtest,2615620.0,0.0,False,,,,,,,True,False,False,,,,,,"19 May, 2024",,,
53507,Dark and Deep Playtest,2689730.0,0.0,False,,,,,,,True,False,False,,,,,,"20 Mar, 2024",,,
53516,XTAL,2022640.0,0.0,False,,True Colors,True Colors,,,,True,False,False,,Single-player;Steam Achievements;Full controller support;Family Sharing,Action;Adventure,,,,,,
53627,Eight Dragons 2 Playtest,2132280.0,0.0,False,,,,,,,True,False,False,,,,,,"10 Feb, 2025",,,
53726,The Backrooms Playtest,2275030.0,0.0,False,,,,,,,True,False,False,,,,,,"20 Dec, 2023",,,
53798,Street Dog BMX Playtest,3352330.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Dec, 2024",,,
53829,Fright Knight Legend Playtest,2170770.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Oct, 2022",,,
53914,Out There: Oceans of Time Playtest,1669070.0,0.0,False,,,,,,,True,False,False,,,,,,"22 Jun, 2021",,,
53921,Night is Coming Playtest,3473460.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Jan, 2025",,,
53956,The Long Fall Home Playtest,3579030.0,0.0,False,,,,,,,True,False,False,,,,,,"1 Jul, 2025",,,
54106,IMMORTAL: Gates of Pyre Playtest,3115580.0,0.0,False,,,,,,,True,False,False,,,,,,"19 Jan, 2025",,,
54109,Kusan : City of Wolves Playtest,2479390.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Oct, 2024",,,
54199,Halo: CE Mod Tools - MCC,1532190.0,0.0,False,,343 Industries;Splash Damage;Ruffian Games;Bungie;Saber Interactive,Xbox Game Studios,,,,True,False,False,,Family Sharing,,,,"23 Jun, 2021",,,
54297,Dino Topia Playtest,3675230.0,0.0,False,,,,,,,True,False,False,,,,,,,,,
54331,Orbital Combat Playtest,1792300.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Dec, 2021",,,
54390,Noble's Life: Kingdom Reborn Prologue Playtest,2943580.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Apr, 2024",,,
54544,Helms of Fury Playtest,3297760.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Nov, 2024",,,
54576,Age Of Warbots Playtest,3508490.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Jun, 2025",,,
54583,Mr. K.I.S.S. Playtest,2572550.0,0.0,False,,,,,,,True,False,False,,,,,,"22 Oct, 2023",,,
54642,Heroes of Valor Playtest,3317910.0,0.0,False,,,,,,,True,False,False,,,,,,"14 Jun, 2025",,,
54678,Foundations Playtest,2570460.0,0.0,False,,,,,,,True,False,False,,,,,,"24 Aug, 2023",,,
54699,Bonding Ambivalence Playtest,1886100.0,0.0,False,,,,,,,True,False,False,,,,,,"2 Sep, 2022",,,
54844,Trouble Makers Playtest,3374010.0,0.0,False,,,,,,,True,False,False,,,,,,"24 May, 2025",,,
54881,Ozymandias Playtest,1831910.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Mar, 2022",,,
54908,Party Animals Playtest,1401390.0,0.0,False,,,,,,,True,False,False,,,,261.0,,"15 Sep, 2023",,,
54978,Formula TOP Playtest,2085670.0,0.0,False,,,,,,,True,False,False,,,,,,"14 Jul, 2022",,,
54988,Global Conflagration Playtest,1468510.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Aug, 2023",,,
55074,Highpoint Playtest,2100800.0,0.0,False,,,,,,,True,False,False,,,,,,"29 Jul, 2022",,,
55231,The Battle of Sacred Heart Playtest,2366560.0,0.0,False,,,,,,,True,False,False,,,,,,"12 Jun, 2024",,,
55271,Draw Playtest,2574720.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Oct, 2023",,,
55369,Industries of Titan Playtest,1650770.0,0.0,False,,,,,,,True,False,False,,,,,,"3 Jun, 2021",,,
55436,Inward Playtest,2187870.0,0.0,False,,,,,,,True,False,False,,Single-player,,,,"20 Oct, 2022",,,
55622,Stygian: Outer Gods Playtest,3594960.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Apr, 2025",,,
55730,Guard the Tower! Playtest,2878300.0,0.0,False,,,,,,,True,False,False,,,,,,"2 May, 2024",,,
55755,Destroyer: The U-Boat Hunter Playtest,1682310.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Jul, 2021",,,
55809,Skygard Arena Beta Playtest,2488440.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Jun, 2024",,,
55823,Fleshgait Playtest,1847960.0,0.0,False,,,,,,,True,False,False,,,,,,"17 Dec, 2021",,,
55847,Auto Fuszerka Playtest,3323560.0,0.0,False,,,,,,,True,False,False,,,,,,"18 Nov, 2024",,,
